id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31173596,"Relaxing, cozy and quiet apartment near Grinzing!!",105705660,Lydia,,Dbling,48.24606,16.34162,Private room,50,1,2,2019-08-27,0.06,2,364,0,
31180486,Cozy Appartment in a student dorm,233091434,Marvin,,Brigittenau,48.23111,16.38474,Entire home/apt,35,1,5,2019-02-24,0.13,1,0,0,
31180556,Cozy Double Bedroom on perfect spot,115915838,Edward,,Neubau,48.19804,16.34634,Hotel room,64,1,14,2022-03-06,0.36,20,363,6,
31180762,Twin Bedroom on perfect spot,115915838,Edward,,Neubau,48.19886,16.34704,Hotel room,69,1,10,2021-10-03,0.26,20,363,2,
31185034,"Apartment in ,,Hip-Area“ of Vienna",48548777,Lisa,,Neubau,48.20439,16.34926,Entire home/apt,42,3,164,2022-03-05,4.23,2,175,38,
31187602,"Comfortable room near centre, close to metro.",46352006,Manfred,,Landstra§e,48.19812,16.40682,Private room,25,1,5,2019-03-25,0.13,1,0,0,
31198698,Cosy couch for a good night...or air mattress...,15103652,Edson,,Wieden,48.19573,16.36364,Shared room,200,1,1,2019-05-12,0.03,1,179,0,
31202179,"Great, spacious Apartment with 3 quiet Bedrooms",230189186,Kenneth,,Rudolfsheim-Fnfhaus,48.19232,16.32349,Entire home/apt,49,1,26,2019-12-27,0.69,1,0,0,
31204721,Cozy Appartement/ Studio in Vienna,130785815,Mahtab,,Rudolfsheim-Fnfhaus,48.19821,16.31539,Entire home/apt,112,5,3,2019-05-05,0.08,1,173,0,
31208841,Cozy room in super central and spacious flat,73908812,Katharina,,Mariahilf,48.19697,16.35029,Private room,20,3,5,2020-08-13,0.14,1,0,0,
31217712,Appartement mit Dachterrasse 300m von Schönbrunn,110581542,Anna,,Meidling,48.18278,16.32487,Entire home/apt,50,2,17,2020-01-30,0.49,1,0,0,
31217938,"Nice appartement , where you can feel so well!",233481899,ACD Immobilien,,Favoriten,48.17584,16.35636,Entire home/apt,26,4,63,2022-01-02,1.72,5,146,16,
31219145,Cozy City Appartment right by the UBahn,8458967,Simone,,Brigittenau,48.22739,16.36529,Entire home/apt,45,3,5,2019-03-10,0.13,1,0,0,
